"Time","Vhcl.YawAcc"
"C1","C1"
"s","rad/s^2"
24.441,-0.6389613748
24.451,-0.6400923729
24.461,-0.6402819753
24.471,-0.6406356096
24.481,-0.6413909793
24.491,-0.641574204
24.501,-0.6413086057
24.511,-0.6408854723
24.521,-0.6399436593
24.531,-0.6384615302
24.541,-0.6366966963
24.551,-0.6346604824
24.561,-0.6323450804
24.571,-0.629893899
24.581,-0.627368331
24.591,-0.624761641
24.601,-0.6220934987
24.611,-0.6193042994
24.621,-0.6162987351
24.631,-0.6129261255
24.641,-0.6081084013
24.651,-0.6029269695
24.661,-0.5985808969
24.671,-0.5936678648
24.681,-0.5882279277
24.691,-0.5830154419
24.701,-0.5776060224
24.711,-0.5718740225
24.721,-0.5662041306
24.731,-0.5603888035
24.741,-0.5545033813
24.751,-0.548402667
24.761,-0.5421343446
24.771,-0.5358449221
24.781,-0.5292602181
24.791,-0.5224199891
24.801,-0.5155034661
24.811,-0.5084617138
24.821,-0.5013104677
24.831,-0.4941458702
24.841,-0.4869537354
24.851,-0.4797063768
24.861,-0.4723760188
24.871,-0.4649163485
24.881,-0.4572679102
24.891,-0.4494077861
24.901,-0.4412250817
24.911,-0.4320635796
24.921,-0.4226218462
24.931,-0.4140146375
24.941,-0.4056257606
24.951,-0.397362262
24.961,-0.3897050321
24.971,-0.3823133111
24.981,-0.3745992482
24.991,-0.3666214645
25.001,-0.3583118021
25.011,-0.3494125605
25.021,-0.3400576115
25.031,-0.3305223882
25.041,-0.3209154606
25.051,-0.3113959134
25.061,-0.3021865785
25.071,-0.2933389843
25.081,-0.2847752869
25.091,-0.2764247954
25.101,-0.2681711316
25.111,-0.2598415911
25.121,-0.2513332069
25.131,-0.2425956279
25.141,-0.2336128056
25.151,-0.224448368
25.161,-0.2152035832
25.171,-0.2059617192
25.181,-0.1967944503
25.191,-0.187757805
25.201,-0.1788626909
25.211,-0.1700816751
25.221,-0.1613793671
25.231,-0.1527171731
25.241,-0.1440535486
25.251,-0.1354641616
25.261,-0.1272419989
25.271,-0.1187611818
25.281,-0.1097654328
25.291,-0.1008976474
25.301,-0.09232914448
25.311,-0.08358737081
25.321,-0.07467692345
25.331,-0.06612928957
25.341,-0.05772740021
25.351,-0.04914310202
25.361,-0.0406358391
25.371,-0.03240404278
25.381,-0.02418342791
25.391,-0.01584378071
25.401,-0.007671800442
25.411,0.0002315539605
25.421,0.008138585836
25.431,0.0160905011
25.441,0.02386161312
25.451,0.03144000098
25.461,0.03903627768
25.471,0.04667123407
25.481,0.05408958346
25.491,0.06131640077
25.501,0.0686295107
25.511,0.07592942566
25.521,0.08293866366
25.531,0.09008748084
25.541,0.09738496691
25.551,0.104302004
25.561,0.1108661965
25.571,0.1176835001
25.581,0.1246745288
25.591,0.1311266571
25.601,0.1371539682
25.611,0.1440702826
25.621,0.1537352949
25.631,0.1610310376
25.641,0.164037928
25.651,0.1708723456
25.661,0.1831532419
25.671,0.1870089024
25.681,0.1831510514
25.691,0.1960696876
25.701,0.2173771411
25.711,0.2036082894
25.721,0.1869822294
25.731,0.2431420535
25.741,0.2690548599
25.751,0.19540824
25.761,0.1749375015
25.771,0.2515616417
25.781,0.291952163
25.791,0.2271173596
25.801,0.1830376685
25.811,0.2417659014
25.821,0.3076837659
25.831,0.2660273015
25.841,0.1977184862
25.851,0.2323832512
25.861,0.3219015002
25.871,0.3133189082
25.881,0.2359265536
25.891,0.2479983866
25.901,0.3395014703
25.911,0.3532397151
25.921,0.2746306062
25.931,0.2551569343
25.941,0.3311270475
25.951,0.3746477664
25.961,0.3141380548
25.971,0.262678653
25.981,0.3141007721
25.991,0.3853988945
26.001,0.3537774384
26.011,0.2783097029
26.021,0.2994656563
26.031,0.3856292069
26.041,0.3880766332
26.051,0.3071747422
26.061,0.2911927104
26.071,0.3671415746
26.081,0.4071887434
26.091,0.345887661
26.101,0.2930759192
26.111,0.3420194387
26.121,0.4127563834
26.131,0.3842945695
26.141,0.3065657318
26.151,0.3173419237
26.161,0.3989182115
26.171,0.4127283692
26.181,0.338427186
26.191,0.305035919
26.201,0.3680518568
26.211,0.4218779206
26.221,0.3766548634
26.231,0.3091434538
26.241,0.3351040781
26.251,0.4104789197
26.261,0.4073924124
26.271,0.3320909739
26.281,0.3121379614
26.291,0.3793053627
26.301,0.4203640819
26.311,0.3669279218
26.321,0.3086462021
26.331,0.3413484395
26.341,0.4091880918
26.351,0.4015147984
26.361,0.3343636394
26.371,0.3179497123
26.381,0.3744956553
26.391,0.4103750885
26.401,0.3697951138
26.411,0.3202714324
26.421,0.3370714486
26.431,0.3874738216
26.441,0.3889777958
26.451,0.3420394063
26.461,0.3208447099
26.471,0.3532446623
26.481,0.3828292489
26.491,0.36331442
26.501,0.3274466395
26.511,0.3289110661
26.521,0.3591912091
26.531,0.367380321
26.541,0.3412576914
26.551,0.3213864267
26.561,0.3354871571
26.571,0.3572881222
26.581,0.3479979932
26.591,0.3214921355
26.601,0.3187949657
26.611,0.3396663368
26.621,0.3453514576
26.631,0.3240887821
26.641,0.3088813424
26.651,0.3209963143
26.661,0.3357678652
26.671,0.3254331052
26.681,0.3050713241
26.691,0.3057263792
26.701,0.3216965497
26.711,0.3223877251
26.721,0.3039334416
26.731,0.2946512997
26.741,0.3063376248
26.751,0.3154025376
26.761,0.3037592471
26.771,0.2885838151
26.781,0.2926636338
26.791,0.3051886261
26.801,0.3014673889
26.811,0.2852469683
26.821,0.2815893888
26.831,0.2933302522
26.841,0.2967463732
26.851,0.283007741
26.861,0.273219198
26.871,0.2813500166
26.881,0.2899347544
26.891,0.2808753252
26.901,0.2674081922
26.911,0.2706498504
26.921,0.2819910944
26.931,0.2783473134
26.941,0.2634417713
26.951,0.2614164948
26.961,0.2732467949
26.971,0.2745210528
26.981,0.260311842
26.991,0.2538024783
27.001,0.2645232379
27.011,0.2706662118
27.021,0.2584441006
27.031,0.247711271
27.041,0.2561201155
27.051,0.2662222087
27.061,0.256891042
27.071,0.2427684516
27.081,0.248099491
27.091,0.2613705397
27.101,0.2555693388
27.111,0.2387304753
27.121,0.2405293584
27.131,0.2563640475
27.141,0.2544512153
27.151,0.2352649271
27.161,0.2327210754
27.171,0.2493056208
27.181,0.250623852
27.191,0.229689762
27.201,0.2239952683
27.211,0.2442379296
27.221,0.2498898804
27.231,0.2253536433
27.241,0.2156329453
27.251,0.2410170436
27.261,0.251328975
27.271,0.2205521762
27.281,0.2059180588
27.291,0.2394458205
27.301,0.255207926
27.311,0.2145911604
27.321,0.1955937892
27.331,0.2425477058
27.341,0.2643156052
27.351,0.2082711607
27.361,0.1815871745
27.371,0.2453050166
27.381,0.2758985162
27.391,0.2093943954
27.401,0.1705896258
27.411,0.2319194227
27.421,0.2768518329
27.431,0.2203661054
27.441,0.1681429446
27.451,0.2181643993
27.461,0.2759106755
27.471,0.2333660722
27.481,0.1706628501
27.491,0.2060195953
27.501,0.2719173729
27.511,0.2439616621
27.521,0.1746425629
27.531,0.1935587823
27.541,0.2626432776
27.551,0.2503369153
27.561,0.1811550856
27.571,0.1827334613
27.581,0.2473169267
27.591,0.2525790036
27.601,0.1917878836
27.611,0.1758899093
27.621,0.2264427394
27.631,0.2469682395
27.641,0.2033890039
27.651,0.1754796356
27.661,0.2061988562
27.671,0.2339579016
27.681,0.210149914
27.691,0.1792321801
27.701,0.1913802028
27.711,0.2180810422
27.721,0.2107042968
27.731,0.1842963696
27.741,0.1836222559
27.751,0.2044138908
27.761,0.2073422968
